ioxd_certs: /tmp/libioxd-certs/default/key.pem: mode 644, readable past its owner
ioxd_certs: 1 host from /tmp/libioxd-certs
[w6] listening on :8080 :8081/tls (cpu 6, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w1] listening on :8080 :8081/tls (cpu 1, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w2] listening on :8080 :8081/tls (cpu 2, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w0] listening on :8080 :8081/tls (cpu 0, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w4] listening on :8080 :8081/tls (cpu 4, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w5] listening on :8080 :8081/tls (cpu 5, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w3] listening on :8080 :8081/tls (cpu 3, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w8] listening on :8080 :8081/tls (cpu 8, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w7] listening on :8080 :8081/tls (cpu 7, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w9] listening on :8080 :8081/tls (cpu 9, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w10] listening on :8080 :8081/tls (cpu 10, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w11] listening on :8080 :8081/tls (cpu 11, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w12] listening on :8080 :8081/tls (cpu 12, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w13] listening on :8080 :8081/tls (cpu 13, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w14] listening on :8080 :8081/tls (cpu 14, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w17] listening on :8080 :8081/tls (cpu 17, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w15] listening on :8080 :8081/tls (cpu 15, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w16] listening on :8080 :8081/tls (cpu 16, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
ioxd: 64 workers on :8080 :8081/tls
[w18] listening on :8080 :8081/tls (cpu 18, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w19] listening on :8080 :8081/tls (cpu 19, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w22] listening on :8080 :8081/tls (cpu 22, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w21] listening on :8080 :8081/tls (cpu 21, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w20] listening on :8080 :8081/tls (cpu 20, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w62] listening on :8080 :8081/tls (cpu 62, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
