[06-Sep-2026 00:55:37] NOTICE: fpm is running, pid 9
2026/09/06 00:55:37 [alert] 137#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 138#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 140#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 142#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 143#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 145#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 146#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 148#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 149#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 151#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 153#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 154#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 156#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 158#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 159#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 161#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 163#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 165#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 166#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 168#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 170#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 172#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 173#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 175#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 176#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 178#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 180#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 182#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 183#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 185#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 189#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 191#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 278#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 280#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 282#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 284#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 286#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 288#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 290#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 292#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 294#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 296#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 298#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 300#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 302#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 305#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 307#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 309#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 312#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 314#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 316#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 318#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 321#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 323#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 325#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 327#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 329#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 331#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 333#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 336#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 338#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 340#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 342#0: sched_setaffinity() failed (22: Invalid argument)
2026/09/06 00:55:37 [alert] 345#0: sched_setaffinity() failed (22: Invalid argument)
[06-Sep-2026 00:55:37] NOTICE: ready to handle connections
[06-Sep-2026 00:55:37] NOTICE: systemd monitor disabled
