[30-Aug-2026 02:02:56] NOTICE: fpm is running, pid 9
2026/08/30 02:02:56 [alert] 130#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 131#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 134#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 135#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 137#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 139#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 140#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 142#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 143#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 145#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 146#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 148#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 150#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 151#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 153#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 154#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 156#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 158#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 160#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 161#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 163#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 165#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 167#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 169#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 171#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 172#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 174#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 176#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 178#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 179#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 181#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 183#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 261#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 266#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 265#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 272#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 274#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 276#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 278#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 280#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 282#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 284#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 286#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 288#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 290#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 292#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 295#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 297#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 299#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 301#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 304#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 306#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 309#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 311#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 314#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 316#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 319#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 321#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 324#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 326#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 328#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 331#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 333#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/30 02:02:56 [alert] 335#0: sched_setaffinity() failed (22: Invalid argument)
[30-Aug-2026 02:02:56] NOTICE: ready to handle connections
[30-Aug-2026 02:02:56] NOTICE: systemd monitor disabled
