info: nilo listening on 0.0.0.0:8080 across 64 thread(s)
info: nilo also listening on https://0.0.0.0:8081
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/40 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/25 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
warning: handler GET /json/50 failed after answering: WriteFailed
