[2026-08-15 19:35:15.65838] [1] [info] Listening at "http://*:8080"
[2026-08-15 19:35:15.65847] [1] [info] Manager 1 started
Web application available at http://127.0.0.1:8080
[2026-08-15 19:35:15.66123] [7] [info] Worker 7 started
[2026-08-15 19:35:15.66234] [8] [info] Worker 8 started
[2026-08-15 19:35:15.66336] [9] [info] Worker 9 started
[2026-08-15 19:35:15.66434] [10] [info] Worker 10 started
[2026-08-15 19:35:15.66554] [11] [info] Worker 11 started
[2026-08-15 19:35:15.66637] [12] [info] Worker 12 started
[2026-08-15 19:35:15.66737] [13] [info] Worker 13 started
[2026-08-15 19:35:15.66837] [14] [info] Worker 14 started
[2026-08-15 19:35:15.66925] [15] [info] Worker 15 started
[2026-08-15 19:35:15.67023] [16] [info] Worker 16 started
[2026-08-15 19:35:15.67127] [17] [info] Worker 17 started
[2026-08-15 19:35:15.67277] [18] [info] Worker 18 started
[2026-08-15 19:35:15.67350] [19] [info] Worker 19 started
[2026-08-15 19:35:15.67477] [20] [info] Worker 20 started
[2026-08-15 19:35:15.67561] [21] [info] Worker 21 started
[2026-08-15 19:35:15.67662] [22] [info] Worker 22 started
[2026-08-15 19:35:15.67751] [23] [info] Worker 23 started
[2026-08-15 19:35:15.67850] [24] [info] Worker 24 started
[2026-08-15 19:35:15.67954] [25] [info] Worker 25 started
[2026-08-15 19:35:15.68053] [26] [info] Worker 26 started
[2026-08-15 19:35:15.68166] [27] [info] Worker 27 started
[2026-08-15 19:35:15.68279] [28] [info] Worker 28 started
[2026-08-15 19:35:15.68364] [29] [info] Worker 29 started
[2026-08-15 19:35:15.68458] [30] [info] Worker 30 started
[2026-08-15 19:35:15.68557] [31] [info] Worker 31 started
[2026-08-15 19:35:15.68659] [32] [info] Worker 32 started
[2026-08-15 19:35:15.68777] [33] [info] Worker 33 started
[2026-08-15 19:35:15.68893] [34] [info] Worker 34 started
[2026-08-15 19:35:15.68974] [35] [info] Worker 35 started
[2026-08-15 19:35:15.69064] [36] [info] Worker 36 started
[2026-08-15 19:35:15.69162] [37] [info] Worker 37 started
[2026-08-15 19:35:15.69258] [38] [info] Worker 38 started
[2026-08-15 19:35:15.69388] [39] [info] Worker 39 started
[2026-08-15 19:35:15.69486] [40] [info] Worker 40 started
[2026-08-15 19:35:15.69565] [41] [info] Worker 41 started
[2026-08-15 19:35:15.69672] [42] [info] Worker 42 started
[2026-08-15 19:35:15.69766] [43] [info] Worker 43 started
[2026-08-15 19:35:15.69896] [44] [info] Worker 44 started
[2026-08-15 19:35:15.69969] [45] [info] Worker 45 started
[2026-08-15 19:35:15.70064] [46] [info] Worker 46 started
[2026-08-15 19:35:15.70173] [47] [info] Worker 47 started
[2026-08-15 19:35:15.70273] [48] [info] Worker 48 started
[2026-08-15 19:35:15.70372] [49] [info] Worker 49 started
[2026-08-15 19:35:15.70466] [50] [info] Worker 50 started
[2026-08-15 19:35:15.70589] [51] [info] Worker 51 started
[2026-08-15 19:35:15.70694] [52] [info] Worker 52 started
[2026-08-15 19:35:15.70801] [53] [info] Worker 53 started
[2026-08-15 19:35:15.70885] [54] [info] Worker 54 started
[2026-08-15 19:35:15.70981] [55] [info] Worker 55 started
[2026-08-15 19:35:15.71077] [56] [info] Worker 56 started
[2026-08-15 19:35:15.71176] [57] [info] Worker 57 started
[2026-08-15 19:35:15.71275] [58] [info] Worker 58 started
[2026-08-15 19:35:15.71386] [59] [info] Worker 59 started
[2026-08-15 19:35:15.71491] [60] [info] Worker 60 started
[2026-08-15 19:35:15.71587] [61] [info] Worker 61 started
[2026-08-15 19:35:15.71682] [62] [info] Worker 62 started
[2026-08-15 19:35:15.71811] [63] [info] Worker 63 started
[2026-08-15 19:35:15.71888] [64] [info] Worker 64 started
[2026-08-15 19:35:15.72015] [65] [info] Worker 65 started
[2026-08-15 19:35:15.72094] [66] [info] Worker 66 started
[2026-08-15 19:35:15.72196] [67] [info] Worker 67 started
[2026-08-15 19:35:15.72305] [68] [info] Worker 68 started
[2026-08-15 19:35:15.72410] [69] [info] Worker 69 started
[2026-08-15 19:35:15.72506] [70] [info] Worker 70 started
[2026-08-15 19:35:15.73094] [1] [info] Creating process id file "/tmp/prefork.pid"
