[29-Aug-2026 18:09:15] NOTICE: fpm is running, pid 9
2026/08/29 18:09:15 [alert] 132#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 133#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 135#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 136#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 138#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 140#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 141#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 143#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 144#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 146#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 148#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 149#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 151#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 152#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 154#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 156#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 157#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 160#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 161#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 163#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 165#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 166#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 168#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 170#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 171#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 173#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 175#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 177#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 178#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 180#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 182#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 184#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 277#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 279#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 281#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 283#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 285#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 287#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 289#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 291#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 293#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 295#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 298#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 300#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 301#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 303#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 306#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 308#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 310#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 313#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 315#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 317#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 319#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 321#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 323#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 325#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 327#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 330#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 332#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 334#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 337#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 339#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 341#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/29 18:09:15 [alert] 343#0: sched_setaffinity() failed (22: Invalid argument)
[29-Aug-2026 18:09:15] NOTICE: ready to handle connections
[29-Aug-2026 18:09:15] NOTICE: systemd monitor disabled
