[w2] listening on 0.0.0.0:8080 (cpu 2, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w4] listening on 0.0.0.0:8080 (cpu 4, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w1] listening on 0.0.0.0:8080 (cpu 1, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w3] listening on 0.0.0.0:8080 (cpu 3, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w0] listening on 0.0.0.0:8080 (cpu 0, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w5] listening on 0.0.0.0:8080 (cpu 5, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w6] listening on 0.0.0.0:8080 (cpu 6, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w7] listening on 0.0.0.0:8080 (cpu 7, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w8] listening on 0.0.0.0:8080 (cpu 8, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w9] listening on 0.0.0.0:8080 (cpu 9, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w10] listening on 0.0.0.0:8080 (cpu 10, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w11] listening on 0.0.0.0:8080 (cpu 11, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w12] listening on 0.0.0.0:8080 (cpu 12, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w13] listening on 0.0.0.0:8080 (cpu 13, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w14] listening on 0.0.0.0:8080 (cpu 14, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w15] listening on 0.0.0.0:8080 (cpu 15, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w17] listening on 0.0.0.0:8080 (cpu 17, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w16] listening on 0.0.0.0:8080 (cpu 16, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w18] listening on 0.0.0.0:8080 (cpu 18, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w20] listening on 0.0.0.0:8080 (cpu 20, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w19] listening on 0.0.0.0:8080 (cpu 19, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w21] listening on 0.0.0.0:8080 (cpu 21, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w22] listening on 0.0.0.0:8080 (cpu 22, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w24] listening on 0.0.0.0:8080 (cpu 24, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w25] listening on 0.0.0.0:8080 (cpu 25, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w23] listening on 0.0.0.0:8080 (cpu 23, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w26] listening on 0.0.0.0:8080 (cpu 26, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w27] listening on 0.0.0.0:8080 (cpu 27, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w28] listening on 0.0.0.0:8080 (cpu 28, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w29] listening on 0.0.0.0:8080 (cpu 29, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
ioma: 64 workers on :8080
[w30] listening on 0.0.0.0:8080 (cpu 30, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w31] listening on 0.0.0.0:8080 (cpu 31, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w41] listening on 0.0.0.0:8080 (cpu 41, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w60] listening on 0.0.0.0:8080 (cpu 60, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w59] listening on 0.0.0.0:8080 (cpu 59, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w63] listening on 0.0.0.0:8080 (cpu 63, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w62] listening on 0.0.0.0:8080 (cpu 62, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w55] listening on 0.0.0.0:8080 (cpu 55, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w61] listening on 0.0.0.0:8080 (cpu 61, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w54] listening on 0.0.0.0:8080 (cpu 54, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
[w56] listening on 0.0.0.0:8080 (cpu 56, 4096 x 4096 B recv buffers, ring 4096, no sqarray)
