[26-Aug-2026 15:28:37] NOTICE: fpm is running, pid 9
2026/08/26 15:28:37 [alert] 155#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 156#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 158#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 160#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 161#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 163#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 164#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 166#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 167#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 169#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 171#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 172#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 174#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 176#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 177#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 179#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 181#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 182#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 184#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 186#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 187#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 189#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 190#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 192#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 194#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 196#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 197#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 199#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 201#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 202#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 206#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 207#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 274#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 278#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 277#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 282#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 283#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 285#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 284#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 288#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 290#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 294#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 291#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 296#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 298#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 300#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 305#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 303#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 307#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 310#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 312#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 314#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 316#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 319#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 321#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 323#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 325#0: sched_setaffinity() failed (22: Invalid argument)
2026/08/26 15:28:37 [alert] 328#0: sched_setaffinity() failed (22: Invalid argument)
