[2026-08-15 19:33:40.39783] [1] [info] Listening at "http://*:8080"
Web application available at http://127.0.0.1:8080
[2026-08-15 19:33:40.39792] [1] [info] Manager 1 started
[2026-08-15 19:33:40.40078] [7] [info] Worker 7 started
[2026-08-15 19:33:40.40143] [8] [info] Worker 8 started
[2026-08-15 19:33:40.40292] [9] [info] Worker 9 started
[2026-08-15 19:33:40.40373] [10] [info] Worker 10 started
[2026-08-15 19:33:40.40476] [11] [info] Worker 11 started
[2026-08-15 19:33:40.40615] [12] [info] Worker 12 started
[2026-08-15 19:33:40.40675] [13] [info] Worker 13 started
[2026-08-15 19:33:40.40789] [14] [info] Worker 14 started
[2026-08-15 19:33:40.40898] [15] [info] Worker 15 started
[2026-08-15 19:33:40.40993] [16] [info] Worker 16 started
[2026-08-15 19:33:40.41097] [17] [info] Worker 17 started
[2026-08-15 19:33:40.41181] [18] [info] Worker 18 started
[2026-08-15 19:33:40.41303] [19] [info] Worker 19 started
[2026-08-15 19:33:40.41396] [20] [info] Worker 20 started
[2026-08-15 19:33:40.41504] [21] [info] Worker 21 started
[2026-08-15 19:33:40.41606] [22] [info] Worker 22 started
[2026-08-15 19:33:40.41683] [23] [info] Worker 23 started
[2026-08-15 19:33:40.41784] [24] [info] Worker 24 started
[2026-08-15 19:33:40.41902] [25] [info] Worker 25 started
[2026-08-15 19:33:40.42022] [26] [info] Worker 26 started
[2026-08-15 19:33:40.42125] [27] [info] Worker 27 started
[2026-08-15 19:33:40.42209] [28] [info] Worker 28 started
[2026-08-15 19:33:40.42342] [29] [info] Worker 29 started
[2026-08-15 19:33:40.42439] [30] [info] Worker 30 started
[2026-08-15 19:33:40.42555] [31] [info] Worker 31 started
[2026-08-15 19:33:40.42631] [32] [info] Worker 32 started
[2026-08-15 19:33:40.42715] [33] [info] Worker 33 started
[2026-08-15 19:33:40.42839] [34] [info] Worker 34 started
[2026-08-15 19:33:40.42942] [35] [info] Worker 35 started
[2026-08-15 19:33:40.43051] [36] [info] Worker 36 started
[2026-08-15 19:33:40.43166] [37] [info] Worker 37 started
[2026-08-15 19:33:40.43255] [38] [info] Worker 38 started
[2026-08-15 19:33:40.43331] [39] [info] Worker 39 started
[2026-08-15 19:33:40.43469] [40] [info] Worker 40 started
[2026-08-15 19:33:40.43543] [41] [info] Worker 41 started
[2026-08-15 19:33:40.43678] [42] [info] Worker 42 started
[2026-08-15 19:33:40.43743] [43] [info] Worker 43 started
[2026-08-15 19:33:40.43883] [44] [info] Worker 44 started
[2026-08-15 19:33:40.43946] [45] [info] Worker 45 started
[2026-08-15 19:33:40.44083] [46] [info] Worker 46 started
[2026-08-15 19:33:40.44150] [47] [info] Worker 47 started
[2026-08-15 19:33:40.44248] [48] [info] Worker 48 started
[2026-08-15 19:33:40.44350] [49] [info] Worker 49 started
[2026-08-15 19:33:40.44489] [50] [info] Worker 50 started
[2026-08-15 19:33:40.44561] [51] [info] Worker 51 started
[2026-08-15 19:33:40.44690] [52] [info] Worker 52 started
[2026-08-15 19:33:40.44767] [53] [info] Worker 53 started
[2026-08-15 19:33:40.44865] [54] [info] Worker 54 started
[2026-08-15 19:33:40.44993] [55] [info] Worker 55 started
[2026-08-15 19:33:40.45098] [56] [info] Worker 56 started
[2026-08-15 19:33:40.45181] [57] [info] Worker 57 started
[2026-08-15 19:33:40.45283] [58] [info] Worker 58 started
[2026-08-15 19:33:40.45413] [59] [info] Worker 59 started
[2026-08-15 19:33:40.45494] [60] [info] Worker 60 started
[2026-08-15 19:33:40.45592] [61] [info] Worker 61 started
[2026-08-15 19:33:40.45736] [62] [info] Worker 62 started
[2026-08-15 19:33:40.45845] [63] [info] Worker 63 started
[2026-08-15 19:33:40.45955] [64] [info] Worker 64 started
[2026-08-15 19:33:40.46015] [65] [info] Worker 65 started
[2026-08-15 19:33:40.46121] [66] [info] Worker 66 started
[2026-08-15 19:33:40.46229] [67] [info] Worker 67 started
[2026-08-15 19:33:40.46336] [68] [info] Worker 68 started
[2026-08-15 19:33:40.46467] [69] [info] Worker 69 started
[2026-08-15 19:33:40.46537] [70] [info] Worker 70 started
[2026-08-15 19:33:40.47512] [1] [info] Creating process id file "/tmp/prefork.pid"
