E0906 20:25:49.917540    43 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:33185, [::]:8443=local, proto=hq
E0906 20:25:49.918165    29 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:21696, [::]:8443=local, proto=hq
E0906 20:25:49.918327    10 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:11370, [::]:8443=local, proto=hq
E0906 20:25:49.918606    67 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:57882, [::]:8443=local, proto=hq
E0906 20:25:49.918893    64 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:35411, [::]:8443=local, proto=hq
E0906 20:25:49.919577    44 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:46694, [::]:8443=local, proto=hq
E0906 20:25:49.920255    19 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:33486, [::]:8443=local, proto=hq
E0906 20:25:49.920446    28 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:58267, [::]:8443=local, proto=hq
E0906 20:25:49.921215    37 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:60223, [::]:8443=local, proto=hq
E0906 20:25:49.921421     9 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:25131, [::]:8443=local, proto=hq
E0906 20:25:49.921452    16 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:37086, [::]:8443=local, proto=hq
E0906 20:25:49.922099    15 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:1902, [::]:8443=local, proto=hq
E0906 20:25:49.922646    35 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:26118, [::]:8443=local, proto=hq
E0906 20:25:49.923884    12 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:28702, [::]:8443=local, proto=hq
E0906 20:25:49.924725    26 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:20639, [::]:8443=local, proto=hq
E0906 20:25:49.924929    50 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:27748, [::]:8443=local, proto=hq
E0906 20:25:49.925336    51 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:34220, [::]:8443=local, proto=hq
E0906 20:25:49.925548    63 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:58940, [::]:8443=local, proto=hq
E0906 20:25:49.925868    39 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:44738, [::]:8443=local, proto=hq
E0906 20:25:49.930777    13 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:57471, [::]:8443=local, proto=hq
E0906 20:25:49.931745    13 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:64316, [::]:8443=local, proto=hq
E0906 20:25:49.931962    33 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:35420, [::]:8443=local, proto=hq
E0906 20:25:49.932198     8 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:53353, [::]:8443=local, proto=hq
E0906 20:25:49.932823    71 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:55731, [::]:8443=local, proto=hq
E0906 20:25:49.932866    36 HTTPCoroSession.cpp:2725] Connection error type=0 err= httpError=2 sess=downstream=127.0.0.1:30257, [::]:8443=local, proto=hq
