[2026-08-15 19:36:02.97006] [1] [info] Listening at "http://*:8080"
[2026-08-15 19:36:02.97015] [1] [info] Manager 1 started
Web application available at http://127.0.0.1:8080
[2026-08-15 19:36:02.97276] [7] [info] Worker 7 started
[2026-08-15 19:36:02.97379] [8] [info] Worker 8 started
[2026-08-15 19:36:02.97479] [9] [info] Worker 9 started
[2026-08-15 19:36:02.97579] [10] [info] Worker 10 started
[2026-08-15 19:36:02.97733] [11] [info] Worker 11 started
[2026-08-15 19:36:02.97836] [12] [info] Worker 12 started
[2026-08-15 19:36:02.97922] [13] [info] Worker 13 started
[2026-08-15 19:36:02.98000] [14] [info] Worker 14 started
[2026-08-15 19:36:02.98117] [15] [info] Worker 15 started
[2026-08-15 19:36:02.98208] [16] [info] Worker 16 started
[2026-08-15 19:36:02.98310] [17] [info] Worker 17 started
[2026-08-15 19:36:02.98439] [18] [info] Worker 18 started
[2026-08-15 19:36:02.98536] [19] [info] Worker 19 started
[2026-08-15 19:36:02.98639] [20] [info] Worker 20 started
[2026-08-15 19:36:02.98743] [21] [info] Worker 21 started
[2026-08-15 19:36:02.98823] [22] [info] Worker 22 started
[2026-08-15 19:36:02.98950] [23] [info] Worker 23 started
[2026-08-15 19:36:02.99020] [24] [info] Worker 24 started
[2026-08-15 19:36:02.99121] [25] [info] Worker 25 started
[2026-08-15 19:36:02.99249] [26] [info] Worker 26 started
[2026-08-15 19:36:02.99354] [27] [info] Worker 27 started
[2026-08-15 19:36:02.99458] [28] [info] Worker 28 started
[2026-08-15 19:36:02.99533] [29] [info] Worker 29 started
[2026-08-15 19:36:02.99657] [30] [info] Worker 30 started
[2026-08-15 19:36:02.99738] [31] [info] Worker 31 started
[2026-08-15 19:36:02.99845] [32] [info] Worker 32 started
[2026-08-15 19:36:02.99934] [33] [info] Worker 33 started
[2026-08-15 19:36:03.00037] [34] [info] Worker 34 started
[2026-08-15 19:36:03.00138] [35] [info] Worker 35 started
[2026-08-15 19:36:03.00238] [36] [info] Worker 36 started
[2026-08-15 19:36:03.00365] [37] [info] Worker 37 started
[2026-08-15 19:36:03.00469] [38] [info] Worker 38 started
[2026-08-15 19:36:03.00552] [39] [info] Worker 39 started
[2026-08-15 19:36:03.00664] [40] [info] Worker 40 started
[2026-08-15 19:36:03.00773] [41] [info] Worker 41 started
[2026-08-15 19:36:03.00857] [42] [info] Worker 42 started
[2026-08-15 19:36:03.00965] [43] [info] Worker 43 started
[2026-08-15 19:36:03.01081] [44] [info] Worker 44 started
[2026-08-15 19:36:03.01170] [45] [info] Worker 45 started
[2026-08-15 19:36:03.01299] [46] [info] Worker 46 started
[2026-08-15 19:36:03.01372] [47] [info] Worker 47 started
[2026-08-15 19:36:03.01483] [48] [info] Worker 48 started
[2026-08-15 19:36:03.01590] [49] [info] Worker 49 started
[2026-08-15 19:36:03.01676] [50] [info] Worker 50 started
[2026-08-15 19:36:03.01774] [51] [info] Worker 51 started
[2026-08-15 19:36:03.01915] [52] [info] Worker 52 started
[2026-08-15 19:36:03.01981] [53] [info] Worker 53 started
[2026-08-15 19:36:03.02082] [54] [info] Worker 54 started
[2026-08-15 19:36:03.02198] [55] [info] Worker 55 started
[2026-08-15 19:36:03.02326] [56] [info] Worker 56 started
[2026-08-15 19:36:03.02432] [57] [info] Worker 57 started
[2026-08-15 19:36:03.02537] [58] [info] Worker 58 started
[2026-08-15 19:36:03.02610] [59] [info] Worker 59 started
[2026-08-15 19:36:03.02740] [60] [info] Worker 60 started
[2026-08-15 19:36:03.02847] [61] [info] Worker 61 started
[2026-08-15 19:36:03.02951] [62] [info] Worker 62 started
[2026-08-15 19:36:03.03024] [63] [info] Worker 63 started
[2026-08-15 19:36:03.03122] [64] [info] Worker 64 started
[2026-08-15 19:36:03.03252] [65] [info] Worker 65 started
[2026-08-15 19:36:03.03349] [66] [info] Worker 66 started
[2026-08-15 19:36:03.03435] [67] [info] Worker 67 started
[2026-08-15 19:36:03.03555] [68] [info] Worker 68 started
[2026-08-15 19:36:03.03639] [69] [info] Worker 69 started
[2026-08-15 19:36:03.03740] [70] [info] Worker 70 started
[2026-08-15 19:36:03.04406] [1] [info] Creating process id file "/tmp/prefork.pid"
